name;bundesland;kreis;grundsteuer_a;grundsteuer_b;gewerbesteuer;vorjahr_b;datenstand;quellenname;quellen_url
Düsseldorf;Nordrhein-Westfalen;;156;440;440;;2022;Statistische Ämter des Bundes und der Länder – Hebesätze der Realsteuern 2022;https://www.statistikportal.de/de/veroeffentlichungen/hebesaetze-der-realsteuern-deutschland
Duisburg;Nordrhein-Westfalen;;260;855;520;;2022;Statistische Ämter des Bundes und der Länder – Hebesätze der Realsteuern 2022;https://www.statistikportal.de/de/veroeffentlichungen/hebesaetze-der-realsteuern-deutschland
Essen;Nordrhein-Westfalen;;255;670;480;;2022;Statistische Ämter des Bundes und der Länder – Hebesätze der Realsteuern 2022;https://www.statistikportal.de/de/veroeffentlichungen/hebesaetze-der-realsteuern-deutschland
Krefeld;Nordrhein-Westfalen;;265;533;480;;2022;Statistische Ämter des Bundes und der Länder – Hebesätze der Realsteuern 2022;https://www.statistikportal.de/de/veroeffentlichungen/hebesaetze-der-realsteuern-deutschland
Mönchengladbach;Nordrhein-Westfalen;;240;620;490;;2022;Statistische Ämter des Bundes und der Länder – Hebesätze der Realsteuern 2022;https://www.statistikportal.de/de/veroeffentlichungen/hebesaetze-der-realsteuern-deutschland
Mülheim an der Ruhr;Nordrhein-Westfalen;;265;890;580;;2022;Statistische Ämter des Bundes und der Länder – Hebesätze der Realsteuern 2022;https://www.statistikportal.de/de/veroeffentlichungen/hebesaetze-der-realsteuern-deutschland
Oberhausen;Nordrhein-Westfalen;;250;670;580;;2022;Statistische Ämter des Bundes und der Länder – Hebesätze der Realsteuern 2022;https://www.statistikportal.de/de/veroeffentlichungen/hebesaetze-der-realsteuern-deutschland
Remscheid;Nordrhein-Westfalen;;230;620;490;;2022;Statistische Ämter des Bundes und der Länder – Hebesätze der Realsteuern 2022;https://www.statistikportal.de/de/veroeffentlichungen/hebesaetze-der-realsteuern-deutschland
Solingen;Nordrhein-Westfalen;;305;690;475;;2022;Statistische Ämter des Bundes und der Länder – Hebesätze der Realsteuern 2022;https://www.statistikportal.de/de/veroeffentlichungen/hebesaetze-der-realsteuern-deutschland
Wuppertal;Nordrhein-Westfalen;;240;620;490;;2022;Statistische Ämter des Bundes und der Länder – Hebesätze der Realsteuern 2022;https://www.statistikportal.de/de/veroeffentlichungen/hebesaetze-der-realsteuern-deutschland
Bedburg-Hau;Nordrhein-Westfalen;;247;479;418;;2022;Statistische Ämter des Bundes und der Länder – Hebesätze der Realsteuern 2022;https://www.statistikportal.de/de/veroeffentlichungen/hebesaetze-der-realsteuern-deutschland
Emmerich am Rhein;Nordrhein-Westfalen;;250;479;425;;2022;Statistische Ämter des Bundes und der Länder – Hebesätze der Realsteuern 2022;https://www.statistikportal.de/de/veroeffentlichungen/hebesaetze-der-realsteuern-deutschland
Geldern;Nordrhein-Westfalen;;247;479;418;;2022;Statistische Ämter des Bundes und der Länder – Hebesätze der Realsteuern 2022;https://www.statistikportal.de/de/veroeffentlichungen/hebesaetze-der-realsteuern-deutschland
Goch;Nordrhein-Westfalen;;258;498;420;;2022;Statistische Ämter des Bundes und der Länder – Hebesätze der Realsteuern 2022;https://www.statistikportal.de/de/veroeffentlichungen/hebesaetze-der-realsteuern-deutschland
